ID_DOL,ID_DOL_1,name,address,cat,address1,address2,address3,tel,fax,open,close,floor,holiday,parking,category,lat,lng,,
31159,31159,コーナンホームストックかつらぎ店,伊都郡かつらぎ町佐野833-1,4,和歌山県,伊都郡かつらぎ町,佐野833-1,0736-23-3715,0736-23-3736,9:30,20:00,地上１階,不定休,◎一般駐車場　有り：２７台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.293075863,135.488864829,,
31160,31160,松源パイン高野口店,橋本市名倉199-1,4,和歌山県,橋本市,名倉199-1,0736-43-1695,0736-43-1696,9:30,21:00,地上１階,1/1〜5,◎一般駐車場　有り：８７台,大規模小売店舗,34.303269688,135.553970697,,
31161,31161,シューズ＆バッグ　こにし,橋本市高野口町名倉１９６−１,4,和歌山県,橋本市,高野口町名倉１９６−１,0736-42-2277,0736-42-4433,9:00,20:00,地上１階,第２・第３水曜日,◎一般駐車場　有り：１２台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.302991927,135.554442868,,
31162,31162,(株)松源伏原店,橋本市伏原字薮田106他,4,和歌山県,橋本市,伏原字薮田106他,0736-42-5593,0736-44-1035,9:00,21:00,地上１階,なし,◎一般駐車場　有り：１１５台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.307075171,135.569858471,,
31163,31163,オークワ高野口店,橋本市高野口町伏原139-1,4,和歌山県,橋本市,高野口町伏原139-1,0736-42-5575,0736-42-5677,9:00,23:00,地上２階,なし,◎一般駐車場　有り：２６２台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.303993565,135.569589799,,
31164,31164,花園生産物直売所,伊都郡かつらぎ町花園久木20,4,和歌山県,伊都郡かつらぎ町,花園久木20,0737-26-0888,,9:00,17:00,地上１階,12/1〜3/15,◎一般駐車場　有り：８０台,大規模小売店舗,34.146998343,135.587531483,,
31165,31165,ゴトウ本店県庁前店,和歌山市真砂町1丁目1-57,4,和歌山県,和歌山市,真砂町1丁目1-57,073-428-0510,073-436-0510,9:00,22:00,地上４階,無休,◎一般駐車場　有り：２２台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.224216899,135.169449471,,
31166,31166,イズミヤ和歌山店,和歌山市新生町7-20,4,和歌山県,和歌山市,新生町7-20,073-427-0550,073-424-8141,10:00,20:00,地上２階,木曜,◎一般駐車場　有り：１３００台<br>◎障害者用駐車場　有り：６台,大規模小売店舗,34.221300928,135.187448138,,
31167,31167,オークワ屋形店,和歌山市屋形町４丁目29,4,和歌山県,和歌山市,屋形町４丁目29,073-424-1191,073-426-3269,9:30,20:00,地上３階,水曜,◎一般駐車場　有り：１７５台,大規模小売店舗,34.224966951,135.177948758,,
31168,31168,プライスカット　ヒラマツ　太田店,和歌山市太田100-1,4,和歌山県,和歌山市,太田100-1,073-474-8855,073-474-8900,9:00,24:00,地上２階,年中無休,◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り,大規模小売店舗,34.227161553,135.193781,,
31169,31169,近鉄百貨店,和歌山市友田町５丁目18,4,和歌山県,和歌山市,友田町５丁目18,073-433-1122,073-433-1815,10:00,19:00,地上５階、地下１階,木曜（不定期）,◎一般駐車場　有り：５９６台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.232938676,135.190447734,,
31170,31170,洋服の青山宮街道店,和歌山市太田199-1,4,和歌山県,和歌山市,太田199-1,073-474-1146,073-474-1147,10:00,20:00,地上２階,なし,◎一般駐車場　有り：４４台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.228439328,135.197780699,,
31171,31171,A-プライス和歌山店,和歌山市広瀬中ノ丁2丁目55番地,4,和歌山県,和歌山市,広瀬中ノ丁2丁目55番地,073-432-2041,073-432-2158,9:30,18:30,地上１階,なし,◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.225783913,135.183391443,,
31172,31172,ホームセンターコーナン和歌山店,和歌山市南片原２丁目１番地,4,和歌山県,和歌山市,南片原２丁目１番地,073-435-0157（代）,073-435-0161,9:30,20:00,地上２階,元日他,◎一般駐車場　有り：２５０〜２６０台<br>◎障害者用駐車場　有り：４台,大規模小売店舗,34.224125745,135.181256329,,
31173,31173,スーパードラックイレブンぶらくり店,和歌山市元寺町３丁目53,4,和歌山県,和歌山市,元寺町３丁目53,073-427-8001,073-402-0588,9:00,23:00,地上１階,無休,◎一般駐車場　有り：１４台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.236882628,135.176710987,,
31174,31174,メッサ　ヒラマツ鳴神店,和歌山市鳴神1019,4,和歌山県,和歌山市,鳴神1019,073-472-5588,073-473-6003,0:00,24:00,地上１階,年中無休,◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り,大規模小売店舗,34.229550584,135.20847437,,
31175,31175,朱洸神前店,和歌山市津秦143-2,4,和歌山県,和歌山市,津秦143-2,073-474-4600,073-474-4601,10:00,18:30,地上３階,火曜,◎一般駐車場　有り：３０台,大規模小売店舗,34.218273877,135.204530472,,
31176,31176,オークワ日昌店,和歌山市中之島298-1,4,和歌山県,和歌山市,中之島298-1,073-472-3771,073-473-6880,9:30,21:00,地上１階,年中無休,◎一般駐車場　有り：７０台,大規模小売店舗,34.243965543,135.193725137,,
31177,31177,オークワＦＣ神前岩崎店,和歌山市神前373-4,4,和歌山県,和歌山市,神前373-4,073-474-3851,073-474-3854,9:00,23:00,地上１階,年中無休,◎一般駐車場　有り：１００台,大規模小売店舗,34.210969272,135.206863791,,
31178,31178,ヒラマツ神前店,和歌山市神前138-7,4,和歌山県,和歌山市,神前138-7,073-472-1919,073-473-4496,9:00,21:00,地上１階,年中無休,◎一般駐車場　有り：７０台,大規模小売店舗,34.21413547,135.205336015,,
31179,31179,喫茶レストランふるさと,和歌山市布施屋字田浦320-7,4,和歌山県,和歌山市,布施屋字田浦320-7,073-477-3789,,8:00,20:00,地上２階,なし,◎一般駐車場　有り：２６台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.240387348,135.266826648,,
31180,31180,オークワ神前店,和歌山市神前509,4,和歌山県,和歌山市,神前509,073-474-2700,073-474-2705,9:00,23:00,地上１階,なし,◎一般駐車場　有り：７５台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.213668925,135.20543602,,
31181,31181,WAY本社中島店,和歌山市北中島1-158-1,4,和歌山県,和歌山市,北中島1-158-1,073-402-3800,073-402-3810,0:00,24:00,地上２階,なし,◎一般駐車場　有り：５００台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.209468997,135.185504099,,
31182,31182,オージョイフル神前店,和歌山市神前字千本523-2他,4,和歌山県,和歌山市,神前字千本523-2他,073-475-6171,,9:30,21:00,地上２階,不定休,◎一般駐車場　有り：<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.208485661,135.206351084,,
31183,31183,オークワ川永西店,和歌山市北字馬添183-1,4,和歌山県,和歌山市,北字馬添183-1,073-462-8011,073-462-8022,9:00,24:00,地上１階,なし,◎一般駐車場　有り：125台<br>◎障害者用駐車場　有り：2台,大規模小売店舗,34.255929882,135.239957425,,
31184,31184,パームシティー和歌山店,和歌山市中野31-1,4,和歌山県,和歌山市,中野31-1,073-456-2000,073-456-2400,10:00,20:00,地上３階、地下１階,火曜（年24回）,◎一般駐車場　有り：２、３００台<br>◎障害者用駐車場　有り：３０台,大規模小売店舗,34.254935665,135.141145011,,
31185,31185,パームシティー和歌山店（東館）,和歌山市中野31-1,4,和歌山県,和歌山市,中野31-1,073-456-2000,073-456-2400,9:00,22:00,地上３階、地下１階,なし,◎一般駐車場　有り：２、３００台<br>◎障害者用駐車場　有り：２０台,大規模小売店舗,34.254935665,135.141145011,,
31186,31186,サンキョー,和歌山市市小路308-1,4,和歌山県,和歌山市,市小路308-1,073-455-5511,073-451-7945,9:30,20:00,地上１階,年中無休,◎一般駐車場　有り：５０台,大規模小売店舗,34.256436077,135.171865365,,
31187,31187,スーパーウジタフードコート店（延時）,和歌山市土入73-1,4,和歌山県,和歌山市,土入73-1,073-452-7121,073-453-6522,10:00,20:00,地上１階,水曜,◎一般駐車場　有り：５０台,大規模小売店舗,34.252865134,135.145633584,,
31188,31188,スーパーウジタ　フードエレガンス店（古屋）,和歌山市古屋82-1,4,和歌山県,和歌山市,古屋82-1,073-452-0331,073-453-3169,10:00,20:00,地上１階,水曜,◎一般駐車場　有り：８０台,大規模小売店舗,34.255685293,135.119702113,,
31189,31189,ヒラマツ園部店,和歌山市園部858-1,4,和歌山県,和歌山市,園部858-1,073-462-0505,073-462-0556,9:30,24:00,地上１階,年中無休,◎一般駐車場　有り：２５０台,大規模小売店舗,34.262269515,135.195391459,,
31190,31190,オークワオーストリート紀ノ川店,和歌山市平井字前嶋154,4,和歌山県,和歌山市,平井字前嶋154,073-451-4400,073-451-4435,9:00,21:00,地上１階,なし,◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り：４台,大規模小売店舗,34.260157899,135.169865376,,
31191,31191,コメリホームセンター紀ノ川店,和歌山市次郎丸48,4,和歌山県,和歌山市,次郎丸48,073-480-2322,073-480-2855,9:00,20:00,地上１階,年４回不定,◎一般駐車場　有り：４９０台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.254591945,135.15069847,,
31192,31192,オークワ西浜店,和歌山市西浜938-2,4,和歌山県,和歌山市,西浜938-2,073-447-2213,073-447-2216,10:00,22:00,地上１階,年間６日程度,◎一般駐車場　有り：５８台,大規模小売店舗,34.200608582,135.158367572,,
31193,31193,ゴトウ本店紀三井寺店,和歌山市紀三井寺659,4,和歌山県,和歌山市,紀三井寺659,073-445-0510,073-445-6228,9:00,20:00,地上２階,年中無休,◎一般駐車場　有り：５０台,大規模小売店舗,34.182527795,135.186421284,,
31194,31194,紳士服はるやま(和歌山国体道路店),和歌山市小雑賀字浜畑603-2,4,和歌山県,和歌山市,小雑賀字浜畑603-2,073-422-0848,073-402-0853,9:00,21:00,地上２階,無休,◎一般駐車場　有り：３０台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.201192186,135.185282101,,
31195,31195,ローソン和歌山紀三井寺店,和歌山市紀三井寺字東浜855-25,4,和歌山県,和歌山市,紀三井寺字東浜855-25,073-447-9439,,0:00,24:00,地上１階,無休,◎一般駐車場　有り：１５台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.186274764,135.184113073,,
31196,31196,オークワユピア店,有田郡湯浅町湯浅川久保1852-1,4,和歌山県,有田郡湯浅町,湯浅川久保1852-1,0737-63-6211,0737-63-6224,10:00,20:00,地上２階,年中無休,◎一般駐車場　有り：６００台,大規模小売店舗,34.041212348,135.187304633,,
31197,31197,フードラック広岡湯浅店,有田郡湯浅町湯浅1792,4,和歌山県,有田郡湯浅町,湯浅1792,0737-64-1200,0737-64-1700,9:30,22:00,地上１階,年中無休,◎一般駐車場　有り：４００台,大規模小売店舗,34.039102981,135.181229996,,
31198,31198,（株）松源湯浅店,有田郡湯浅町湯浅1658-1,4,和歌山県,有田郡湯浅町,湯浅1658-1,0737-62-4519,0737-63-0674,9:30,22:00,地上１階,年中無休,◎一般駐車場　有り：１２０台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.037472841,135.179513002,,
31199,31199,ケイマーケット広川店,有田郡広川町広503-13,4,和歌山県,有田郡広川町,広503-13,0737-62-3957,0737-63-0357,8:00,19:00,地上２階,日曜,◎一般駐車場　有り：３台,大規模小売店舗,34.027153513,135.175408559,,
31200,31200,デリシャス広岡広川店,有田郡広川町広503-1,4,和歌山県,有田郡広川町,広503-1,0737-64-0200,0737-64-0778,9:30,23:00,地上２階,無休（1/1、2を除く）,◎一般駐車場　有り：５０台,大規模小売店舗,34.026992224,135.175132195,,
31201,31201,松源吉備店,有田郡有田川町下津野558,4,和歌山県,有田郡有田川町,下津野558,0737-52-5364,0737-52-6213,9:30,22:00,地上１階,年２回程度,◎一般駐車場　有り：８０台,大規模小売店舗,34.065630808,135.215556689,,
31202,31202,デリシャス広岡吉備店,有田郡有田川町天満563,4,和歌山県,有田郡有田川町,天満563,0737-52-6850,0737-52-6858,9:00,24:00,地上２階,1/1、1/2,◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り,大規模小売店舗,34.062544838,135.203005254,,
31203,31203,チェーンストアオークワ吉備店,有田郡有田川町天満池ノ内４０７,4,和歌山県,有田郡有田川町,天満池ノ内４０７,0737-52-8800,0737-52-8810,9:30,21:00,地上１階,年間２０日,◎一般駐車場　有り：２７０台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.060073292,135.208976899,,
31204,31204,コーナンホームストック吉備店,有田郡有田川町徳田1192,4,和歌山県,有田郡有田川町,徳田1192,0737-53-1811,0737-53-1813,9:30,20:00,地上１階,,◎一般駐車場　有り：５４台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,34.060130266,135.246946154,,
31205,31205,Ａコープ金屋店,有田郡有田川町中野36-1,4,和歌山県,有田郡有田川町,中野36-1,0737-32-4000,0737-32-2222,9:30,20:00,地上１階,年中無休,◎一般駐車場　有り,大規模小売店舗,34.067184813,135.254500993,,
31206,31206,しみず農林産物振興センター,有田郡有田川町清水1224-2,4,和歌山県,有田郡有田川町,清水1224-2,0737-25-0221,0737-25-0221,8:30,17:00,地上１階,官庁御用納めの翌日から1/1まで,◎一般駐車場　有り：３３台,大規模小売店舗,34.082822439,135.432151947,,
31207,31207,エーコープかいなん,海南市阪井字中ノ坪1744-1,4,和歌山県,海南市,阪井字中ノ坪1744-1,073-487-0900,073-487-0987,9:30,20:00,地上２階,第１・３水曜,◎一般駐車場　有り：１００台,大規模小売店舗,34.159382395,135.26743764,,
31208,31208,海南中央商業協同組合,海南市日方1520,4,和歌山県,海南市,日方1520,073-483-5000,073-483-5409,10:00,20:00,地上２階、地下１階,木曜,◎一般駐車場　有り：３０４台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.159497387,135.267992096,,
31209,31209,(株）松源海南日方店,海南市日方上芦原1030番地,4,和歌山県,海南市,日方上芦原1030番地,073-482-2279,073-482-2282,9:00,21:00,地上１階,年中無休,◎一般駐車場　有り：１１０台,大規模小売店舗,34.156754577,135.21675231,,
31210,31210,オークワ海南幡川店,海南市幡川字下九条105,4,和歌山県,海南市,幡川字下九条105,073-483-1600,073-483-1611,9:00,24:00,地上１階,無し,◎一般駐車場　有り：98台<br>◎障害者用駐車場　有り：2台,大規模小売店舗,34.153665056,135.234828491,,
31211,31211,ダイキ海南店,海南市幡川77,4,和歌山県,海南市,幡川77,073-484-2701,073-484-2703,9:00,21:00,地上２階（売り場は１階のみ）,無し,◎一般駐車場　有り：200台<br>◎障害者用駐車場　有り：2台,大規模小売店舗,34.153665074,135.235660341,,
31212,31212,Ａコープ橋本店,橋本市東家６丁目340,4,和歌山県,橋本市,東家６丁目340,0736-34-0800,0736-34-0803,9:30,19:00,地上１階,水曜,◎一般駐車場　有り：１００台,大規模小売店舗,34.313676213,135.605616703,,
31213,31213,フォレストはしもと,橋本市三石台１丁目3-11,4,和歌山県,橋本市,三石台１丁目3-11,0736-37-4717,,10:00,21:00,地上２階,月に一度、1/1〜1/3,,大規模小売店舗,34.356027306,135.602390314,,
31214,31214,松源橋本店,橋本市東家１丁目166-1,4,和歌山県,橋本市,東家１丁目166-1,0736-34-0500,0736-34-1253,9:30,20:00,地上２階,,◎一般駐車場　有り：１２０台<br>◎障害者用駐車場　有り：４台,大規模小売店舗,34.314713623,135.606872667,,
31215,31215,オークワ橋本林間ショッピングセンター,橋本市三石台１丁目2-1,4,和歌山県,橋本市,三石台１丁目2-1,0736-36-3300,0736-36-3310,10:00,20:00,地上２階,水曜,◎一般駐車場　有り：４６０台<br>◎障害者用駐車場　有り：１５台,大規模小売店舗,34.357361058,135.603471592,,
31216,31216,（株）ベターライフ橋本店,橋本市北馬場7-9,4,和歌山県,橋本市,北馬場7-9,0736-39-3070,0736-33-0012,10:00,20:00,地上１階,1日/月,◎一般駐車場　有り：２００台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.328266502,135.608546432,,
31217,31217,はるやま橋本店,橋本市隅田町河瀬415-1,4,和歌山県,橋本市,隅田町河瀬415-1,0736-32-1900,0736-39-2950,10:00,20:00,地上２階,なし,◎一般駐車場　有り：18台<br>◎障害者用駐車場　有り：1台,大規模小売店舗,34.322331719,135.627124492,,
31218,31218,オークワ箕島店,有田市箕島北広瀬92-1,4,和歌山県,有田市,箕島北広瀬92-1,0737-83-5521,0737-83-5913,10:00,20:00,地上２階,火曜,◎一般駐車場　有り：７００台,大規模小売店舗,34.085200462,135.128206768,,
31219,31219,松源箕島店,有田市箕島７２１番地の１,4,和歌山県,有田市,箕島７２１番地の１,0737-83-3113,0737-83-3114,9:30,21:00,地上１階,,◎一般駐車場　有り：８０台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.087085875,135.113573601,,
31220,31220,千寿堂野口新橋店,御坊市藤田町吉田327-1,4,和歌山県,御坊市,藤田町吉田327-1,0738-23-2288,738-23-2457,9:00,22:00,地上１階,年中無休,◎一般駐車場　有り：８３台,大規模小売店舗,33.901098084,135.170643043,,
31221,31221,ミドリ御坊店,御坊市湯川町小松原212,4,和歌山県,御坊市,湯川町小松原212,0738-24-0450,0738-23-5117,7:00,22:00,地上１階,火曜,◎一般駐車場　有り：７０台,大規模小売店舗,33.901981483,135.163778302,,
31222,31222,スーパークボテツ吉田店,御坊市藤田町吉田351,4,和歌山県,御坊市,藤田町吉田351,0738-23-2288,0738-23-2457,9:00,22:00,地上１階,年中無休,◎一般駐車場　有り：２６台,大規模小売店舗,33.901514377,135.168586809,,
31223,31223,スーパードラックキリン御坊店,御坊市藤田町吉田537-1,4,和歌山県,御坊市,藤田町吉田537-1,0738-24-2215,0738-24-2216,9:30,22:00,地上１階,年中無休,◎一般駐車場　有り：２８台,大規模小売店舗,33.902069267,135.166954938,,
31224,31224,ミスタージョン御坊店,御坊市湯川町財部字平田620-1,4,和歌山県,御坊市,湯川町財部字平田620-1,0738-32-3121,0738-32-3088,9:00,20:00,地上１階,特になし,◎一般駐車場　有り：１３０台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,33.898926945,135.150538692,,
31225,31225,ロマンシティ御坊店,御坊市湯川町財部181,4,和歌山県,御坊市,湯川町財部181,0738-32-3200,0738-32-3201,9:00,21:00,地上３階,なし,◎一般駐車場　有り：１，０００台<br>◎障害者用駐車場　有り：１０台,大規模小売店舗,33.897768118,135.148765173,,
31226,31226,ケーズデンキ御坊パワフル館,御坊市野口590-3,4,和歌山県,御坊市,野口590-3,0738-23-1353,0738-22-7710,10:00,20:00,地上１階,なし,◎一般駐車場　有り：６５台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,33.898323921,135.179233208,,
31227,31227,ミドリタナベショッピングセンター,田辺市宝来町24-26,4,和歌山県,田辺市,宝来町24-26,0739-25-3311,0739-22-1194,9:00,20:00,地上４階,年24日（水曜日）,◎一般駐車場　有り：４５０台<br>◎障害者用駐車場　有り：３台,大規模小売店舗,33.73467223,135.388084152,,
31228,31228,Ａコープ万呂店,田辺市中万呂37-1,4,和歌山県,田辺市,中万呂37-1,0739-25-3050,0739-25-3051,10:00,19:00,地上２階,年中無休,◎一般駐車場　有り：８０台,大規模小売店舗,33.73786268,135.400021137,,
31229,31229,ミドリ明洋店,田辺市元町991,4,和歌山県,田辺市,元町991,0739-24-7556,0739-25-1982,7:00,22:00,地上１階,年中無休,◎一般駐車場　有り：２０台,大規模小売店舗,33.734277939,135.364077146,,
31230,31230,サンズ万呂店,田辺市上万呂118-1,4,和歌山県,田辺市,上万呂118-1,0739-24-8739,0739-24-8739,8:00,22:00,地上１階,1/1〜3,◎一般駐車場　有り：２０台,大規模小売店舗,33.734070071,135.406584181,,
31231,31231,食鮮館Aコープいなり店,田辺市稲成町3197,4,和歌山県,田辺市,稲成町3197,0739-24-9200,0739-24-9988,10:00,19:00,,,◎一般駐車場　有り：６７台,大規模小売店舗,33.743405377,135.376416009,,
31232,31232,ベイマルチョウ,田辺市稲成町230-3,4,和歌山県,田辺市,稲成町230-3,0739-26-6300,0739-24-8388,9:30,20:30,,火曜,◎一般駐車場　有り：３４台,大規模小売店舗,33.740903769,135.375331736,,
31233,31233,オーシティー田辺店,田辺市東山1丁目5-1,4,和歌山県,田辺市,東山1丁目5-1,0739-24-0410,0739-24-9995,10:00,20:00,地上３階,年中無休,◎一般駐車場　有り：５００台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,33.729325922,135.389110988,,
31234,31234,パビリオンシティーオーク,田辺市稲成町3165,4,和歌山県,田辺市,稲成町3165,0739-26-3700,0739-26-4700,10:00,21:00,地上４階,木曜,◎一般駐車場　有り：６２０台<br>◎障害者用駐車場　有り：６台,大規模小売店舗,33.744077287,135.375889154,,
31235,31235,和歌山日産自動車（株）田辺店,田辺市元町1146-2,4,和歌山県,田辺市,元町1146-2,0739-22-5217,0739-24-8527,9:30,18:00,地上２階,第2水曜,◎一般駐車場　有り：５台,大規模小売店舗,33.735723547,135.363855478,,
31236,31236,ローソンたきない町店,田辺市たきない町2974-135,4,和歌山県,田辺市,たきない町2974-135,0739-26-2489,,0:00,24:00,地上１階,なし,◎一般駐車場　有り：１３台,大規模小売店舗,33.702465013,135.401149807,,
31237,31237,ローソン内之浦北店,田辺市新庄字北内之浦3021-4,4,和歌山県,田辺市,新庄字北内之浦3021-4,0739-22-4633,,0:00,24:00,地上１階,なし,◎一般駐車場　有り：１６台,大規模小売店舗,33.702789266,135.395659358,,
31238,31238,オークワ新宮,新宮市新宮418-1,4,和歌山県,新宮市,新宮418-1,0735-21-2261,0735-21-3240,10:00,20:00,地上６階,年中無休,◎一般駐車場　有り：３００台,大規模小売店舗,33.727724262,135.990875478,,
31239,31239,オーマート新宮店,新宮市下田2-2-18,4,和歌山県,新宮市,下田2-2-18,0735-21-1300,,10:00,20:00,地上１階,年24回,◎一般駐車場　有り：１００台,大規模小売店舗,33.717507408,135.992831889,,
31240,31240,オークワ野田店,新宮市野田8-47,4,和歌山県,新宮市,野田8-47,0735-22-0515,0735-22-6033,9:30,19:00,地上１階,年6回,◎一般駐車場　有り：４０台,大規模小売店舗,33.721742195,135.994554219,,
31241,31241,ジャスコ(株)新宮店,新宮市橋本2丁目14番23号,4,和歌山県,新宮市,橋本2丁目14番23号,0735-28-3111,0735-28-3115,10:00,20:00,地上５階,水曜日（年間24日）,◎一般駐車場　有り：１２６３台<br>◎障害者用駐車場　有り：１５台,大規模小売店舗,33.713525707,135.989289541,,
31242,31242,(有)須川家具,新宮市伊佐田2丁目-1-12,4,和歌山県,新宮市,伊佐田2丁目-1-12,0735-22-2276,0735-22-2276,9:00,20:00,地上３階,なし,◎一般駐車場　有り：２台,大規模小売店舗,33.726771824,135.99325434,,
31243,31243,A-COOP下津店,海南市下津町小南127-1,4,和歌山県,海南市,下津町小南127-1,073-492-4461,073-492-4412,9:30,19:00,地上１階,水曜,◎一般駐車場　有り：７０台,大規模小売店舗,34.127812526,135.167784701,,
31244,31244,マツゲン下津店,海南市下津町丁字蔭ノ木65-5,4,和歌山県,海南市,下津町丁字蔭ノ木65-5,073-492-1403,073-492-3880,9:00,21:00,地上２階（店舗は１階）,なし,◎一般駐車場　有り：８０台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.120715577,135.155110475,,
31245,31245,ショッピングセンターマミー野上店,海草郡紀美野町動木314-2,4,和歌山県,海草郡紀美野町,動木314-2,073-489-5880,073-489-5890,9:00,23:00,地上１階,年中無休,◎一般駐車場　有り：６５台,大規模小売店舗,34.168060294,135.306633739,,
31246,31246,ミドリ美浜店,日高郡美浜町田井426-2,4,和歌山県,日高郡美浜町,田井426-2,0738-23-1661,0738-23-4717,9:00,21:00,地上１階,火曜（不定期）,◎一般駐車場　有り：８０台,大規模小売店舗,33.886759015,135.151818797,,
31247,31247,千寿堂美浜店,日高郡美浜町吉原890-39,4,和歌山県,日高郡美浜町,吉原890-39,0738-23-5566,0738-23-5568,9:00,22:00,地上１階,年中無休,◎一般駐車場　有り：３４台,大規模小売店舗,33.892813564,135.138681009,,
31248,31248,Ａコープひだか,日高郡日高町荊木5,4,和歌山県,日高郡日高町,荊木5,0738-63-2111,0738-63-3288,9:30,19:00,地上２階,年中無休,◎一般駐車場　有り：２０台,大規模小売店舗,33.924123234,135.144383813,,
31249,31249,Ａコープゆら店,日高郡由良町里279番地-1,4,和歌山県,日高郡由良町,里279番地-1,0738-65-3121,0738-65-3123,9:30,19:30,地上１階,年中無休,◎一般駐車場　有り：５５台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,33.960139491,135.122153904,,
